PLAYER,Conference,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Gerald Green,Eastern,11.4,5.6,2,4.9,40.9,0.8,2.4,35.1,0.7,0.9,80.5,0.3,1.4,1.8,0.7,0.5,0.2,0.1,1,0,0,0.2
Gerald Henderson,Eastern,23.2,9.2,3.3,7.7,42.3,0.8,2.4,35.3,1.8,2.3,80.6,0.5,2.1,2.6,1.6,0.9,0.6,0.2,1.8,0,0,-4.2
Giannis Antetokounmpo,Eastern,35.6,22.9,8.2,15.7,52.1,0.6,2.3,27.2,5.9,7.7,77,1.8,7,8.8,5.4,2.9,1.6,1.9,3.1,32,3,0.6
Glenn Robinson III,Eastern,20.7,6.1,2.3,4.9,46.7,0.7,1.8,39.2,0.8,1.1,71.1,0.8,2.7,3.6,0.7,0.5,0.6,0.3,0.9,3,0,-1.1
Goran Dragic,Eastern,33.7,20.3,7.3,15.4,47.5,1.6,4,40.5,4.1,5.2,79,0.8,3,3.8,5.8,2.9,1.2,0.2,2.7,6,0,0.9
Gordon Hayward,Western,34.5,21.9,7.5,15.8,47.1,2,5.1,39.8,5,5.9,84.4,0.7,4.7,5.4,3.5,1.9,1,0.3,1.6,2,0,4.8
Gorgui Dieng,Western,32.4,10,4,8.1,50.2,0.2,0.5,37.2,1.7,2,81.4,2.3,5.6,7.9,1.9,1.3,1.1,1.2,3.1,13,0,0.4
Greg Monroe,Eastern,22.5,11.7,4.8,9,53.3,0,0,0,2.2,3,74.1,2.1,4.5,6.6,2.3,1.7,1.1,0.5,2.1,13,0,1.7
Greivis Vasquez,Eastern,12.9,2.3,0.7,2.7,25,0.3,1,33.3,0.7,1,66.7,0,0.7,0.7,1.7,0.3,0.3,0.3,2,0,0,-4.3
Harrison Barnes,Western,35.5,19.2,7.6,16.2,46.8,1,2.8,35.1,3.1,3.6,86.1,1.2,3.8,5,1.5,1.3,0.8,0.2,1.6,1,0,-1.7
Hassan Whiteside,Eastern,32.6,17,7,12.6,55.7,0,0,0,2.9,4.6,62.8,3.8,10.3,14.1,0.7,2,0.7,2.1,2.9,58,0,1.3
Henry Ellenson,Eastern,7.7,3.2,1.2,3.4,35.9,0.5,1.8,28.6,0.2,0.4,50,0.4,1.7,2.2,0.4,0.7,0.1,0.1,0.3,1,0,-0.2
Hollis Thompson,Western,18.8,5.1,1.9,5,38.5,0.8,2.4,33.7,0.5,0.7,65.5,0.5,2.3,2.8,0.9,0.3,0.5,0.2,1.7,0,0,-1.8
Ian Clark,Western,14.8,6.8,2.7,5.6,48.7,0.8,2.1,37.4,0.6,0.8,75.9,0.3,1.3,1.6,1.2,0.7,0.5,0.1,1,0,0,0.5
Ian Mahinmi,Eastern,17.9,5.6,2.1,3.6,58.6,0,0,0,1.4,2.4,57.3,1.5,3.3,4.8,0.6,1.1,1.1,0.8,2.9,0,0,1
Iman Shumpert,Eastern,25.5,7.5,2.6,6.4,41.1,1.2,3.4,36,0.9,1.2,78.9,0.5,2.4,2.9,1.4,1,0.8,0.4,2,0,0,0.6
Isaiah Canaan,Eastern,15.2,4.6,1.6,4.4,36.4,0.6,2.4,26.6,0.8,0.8,90.9,0.2,1.1,1.3,0.9,0.5,0.6,0,0.9,0,0,-2.3
Isaiah Taylor,Western,13,0.8,0.3,1.8,14.3,0,0.5,0,0.3,0.5,50,0.3,0.5,0.8,0.8,0,0.3,0.3,1.5,0,0,-4.8
Isaiah Thomas,Eastern,33.8,28.9,9,19.4,46.3,3.2,8.5,37.9,7.8,8.5,90.9,0.6,2.1,2.7,5.9,2.8,0.9,0.2,2.2,5,0,3.6
Isaiah Whitehead,Eastern,22.5,7.4,2.8,7,40.2,0.6,2,29.5,1.2,1.5,80.5,0.4,2.1,2.5,2.6,1.9,0.6,0.5,2.4,1,0,-1.6
Ish Smith,Eastern,24.1,9.4,4.1,9.2,43.9,0.3,1.3,26.7,0.9,1.3,70.6,0.3,2.6,2.9,5.2,1.4,0.8,0.4,1.6,3,0,0.6
Ivica Zubac,Western,16,7.5,3.3,6.3,52.9,0,0.1,0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,4,0,-3.5
J.J. Barea,Western,22,10.9,4.1,9.8,41.4,1.5,4.2,35.8,1.3,1.5,86.3,0.3,2.1,2.4,5.5,1.8,0.4,0,0.9,0,0,0.3
JJ Redick,Western,28.2,15,5.1,11.4,44.5,2.6,6,42.9,2.3,2.6,89.1,0.1,2.1,2.2,1.4,1.3,0.7,0.2,1.6,0,0,6
JR Smith,Eastern,29,8.6,3,8.7,34.6,2.3,6.6,35.1,0.2,0.4,66.7,0.4,2.3,2.8,1.5,0.6,1,0.3,1.9,0,0,1.8
JaMychal Green,Western,27.3,8.9,3.2,6.5,50,0.7,1.9,37.9,1.7,2.2,80.2,2.2,4.9,7.1,1.1,1.2,0.6,0.4,3.2,10,0,-0.4
JaVale McGee,Western,9.6,6.1,2.7,4.1,65.2,0,0,0,0.7,1.4,50.5,1.3,1.9,3.2,0.2,0.5,0.2,0.9,1.4,0,0,4.1
Jabari Parker,Eastern,33.9,20.1,7.8,16,49,1.3,3.5,36.5,3.2,4.3,74.3,1.5,4.6,6.2,2.8,1.8,1,0.4,2.2,2,0,-1.7
Jae Crowder,Eastern,32.4,13.9,4.6,10,46.3,2.2,5.5,39.8,2.4,3,81.1,0.7,5.1,5.8,2.2,1.1,1,0.3,2.2,7,0,4.8
Jahlil Okafor,Eastern,22.7,11.8,4.8,9.4,51.4,0,0,0,2.1,3.2,67.1,1.6,3.2,4.8,1.2,1.8,0.4,1,2.4,2,0,-6.4
Jake Layman,Western,7.1,2.2,0.7,2.5,29.2,0.4,1.5,25.5,0.4,0.5,76.5,0.2,0.5,0.7,0.3,0.3,0.3,0.1,0.6,0,0,0
Jakob Poeltl,Eastern,11.6,3.1,1.2,2.1,58.3,0,0,0,0.6,1.1,54.4,1.4,1.6,3.1,0.2,0.5,0.3,0.4,2.1,0,0,-0.1
Jamal Crawford,Western,26.3,12.3,4.4,10.6,41.3,1.4,3.9,36,2.1,2.5,85.7,0.2,1.4,1.6,2.6,1.6,0.7,0.2,1.4,0,0,0.3
Jamal Murray,Western,21.5,9.9,3.6,8.9,40.4,1.4,4.2,33.4,1.3,1.5,88.3,0.5,2.1,2.6,2.1,1.4,0.6,0.3,1.5,1,0,0.9
Jameer Nelson,Western,27.3,9.2,3.6,8.1,44.4,1.4,3.6,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,1.7,0.7,0.1,2.6,4,0,1.7
James Ennis III,Western,23.4,6.7,2.3,5,45.5,0.8,2.1,37.2,1.3,1.7,78.2,1.1,3,4,1,0.9,0.7,0.3,2.6,1,0,0.7
James Harden,Western,36.4,29.1,8.3,18.9,44,3.2,9.3,34.7,9.2,10.9,84.7,1.2,7,8.1,11.2,5.7,1.5,0.5,2.7,64,22,5.2
James Johnson,Eastern,27.4,12.8,4.8,10.1,47.9,1.1,3.4,34,2,2.8,70.7,0.9,4.1,4.9,3.6,2.3,1,1.1,2.6,4,0,1.8
James Jones,Eastern,7.9,2.8,0.9,1.9,47.8,0.6,1.4,47,0.3,0.4,65,0.1,0.7,0.8,0.3,0.2,0.1,0.2,0.8,0,0,-2.1
James Michael McAdoo,Western,8.8,2.8,1.2,2.3,53,0,0.2,25,0.4,0.8,50,0.7,1.1,1.8,0.3,0.4,0.3,0.6,0.9,0,0,-0.8
James Young,Eastern,7.6,2.3,0.9,2,43.1,0.4,1.2,34.3,0.2,0.3,66.7,0.2,0.7,0.9,0.1,0.1,0.3,0.1,0.5,0,0,-1.3
Jared Dudley,Western,21.3,6.8,2.5,5.4,45.4,1.2,3.2,37.9,0.7,1,66.2,0.5,3,3.5,1.9,1.1,0.7,0.3,2.4,0,0,-0.7
Jared Sullinger,Eastern,10.7,3.4,1.4,4.3,31.9,0.3,1.6,16.7,0.4,0.7,50,0.9,1.5,2.5,0.3,0.4,0.4,0.1,1.5,0,0,-2.7
Jarell Eddie,Western,12.5,4.8,1.2,3.8,31.6,0.8,3.2,25,1.6,1.8,88.9,0.2,1.2,1.4,0,0.2,0.2,0,0.2,0,0,-1
Jarell Martin,Western,13.3,3.9,1.4,3.6,38.4,0.2,0.6,36,1,1.2,80,1,2.9,3.9,0.2,0.7,0.4,0.2,2.2,1,0,-1.7
Jarnell Stokes,Western,3.3,1.5,0.5,0.5,100,0,0,0,0.5,1,50,0.5,0.5,1,1,0,0.5,0,1.5,0,0,0
Jarrett Jack,Western,16.5,3,1,1.5,66.7,0,0.5,0,1,1,100,0,0,0,2.5,1.5,1,0,2,0,0,-3
Jarrod Uthoff,Western,12.7,4.4,1.8,4.2,42.1,0.3,1,33.3,0.6,0.8,71.4,0.9,1.6,2.4,1,0.3,0.2,0.4,0.9,0,0,-6.9
Jason Smith,Eastern,14.4,5.7,2.4,4.4,52.9,0.5,1.1,47.4,0.5,0.7,68.6,0.9,2.6,3.5,0.5,0.8,0.3,0.7,2.3,0,0,-0.2
Jason Terry,Eastern,18.4,4.1,1.4,3.3,43.2,1,2.3,42.7,0.3,0.4,82.8,0.2,1.2,1.4,1.3,0.5,0.6,0.3,1.3,0,0,1.5
Jaylen Brown,Eastern,17.2,6.6,2.5,5.4,45.4,0.6,1.7,34.1,1.1,1.6,68.5,0.6,2.2,2.8,0.8,0.9,0.4,0.2,1.8,0,0,-1.6
Jeff Green,Eastern,22.2,9.2,3.2,8.1,39.4,0.8,2.8,27.5,2.1,2.4,86.3,0.6,2.5,3.1,1.2,1.1,0.5,0.2,1.5,1,0,-4.3
Jeff Teague,Eastern,32.4,15.3,4.9,11.1,44.2,1.1,3.1,35.7,4.4,5.1,86.7,0.4,3.6,4,7.8,2.6,1.2,0.4,2,16,0,0.6
Jeff Withey,Western,8.5,2.9,1.1,2,53.4,0,0,0,0.7,0.9,75,1,1.4,2.4,0.1,0.3,0.3,0.6,1,0,0,-0.5
Jerami Grant,Western,19.1,5.5,1.9,4.1,46.3,0.5,1.5,37.1,1.1,1.8,61.2,0.5,2.1,2.6,0.6,0.6,0.4,1,1.9,0,0,-2.3
Jeremy Lamb,Eastern,18.4,9.7,3.6,7.9,46,0.7,2.4,28.1,1.8,2.1,85.3,0.5,3.8,4.3,1.2,0.6,0.4,0.4,1.6,1,0,-0.6
Jeremy Lin,Eastern,24.5,14.5,4.9,11.1,43.8,1.6,4.3,37.2,3.2,3.9,81.6,0.3,3.4,3.8,5.1,2.4,1.2,0.4,2.2,3,0,-2.3
Jerian Grant,Eastern,16.3,5.9,2,4.8,42.5,0.8,2.1,36.6,1,1.2,89,0.3,1.5,1.8,1.9,0.7,0.7,0.1,1.5,1,0,0.8
Jerryd Bayless,Eastern,23.8,11,3.7,10.7,34.4,0.7,1.7,40,3,3.3,90,1,3,4,4.3,3,0,0,1.3,0,0,-7
Jimmy Butler,Eastern,37,23.9,7.5,16.5,45.5,1.2,3.3,36.7,7.7,8.9,86.5,1.7,4.5,6.2,5.5,2.1,1.9,0.4,1.5,15,2,2.7
Joakim Noah,Eastern,22.1,5,2.2,4.4,49,0,0,0,0.7,1.7,43.6,3.5,5.2,8.8,2.2,1.3,0.7,0.8,2.8,5,0,-3.1
Jodie Meeks,Eastern,20.5,9.1,2.9,7.1,40.2,1.6,3.8,40.9,1.8,2.1,87.8,0.1,2,2.1,1.3,1,0.9,0.1,1.1,0,0,-2.8
Joe Harris,Eastern,21.9,8.2,3,7,42.5,1.6,4.3,38.5,0.7,0.9,71.4,0.3,2.5,2.8,1,1.1,0.6,0.2,2.3,0,0,-5.5
Joe Ingles,Western,24.1,7.1,2.5,5.5,45.2,1.5,3.4,44.1,0.6,0.8,73.5,0.3,2.9,3.2,2.7,1.3,1.2,0.1,2,0,0,2
Joe Johnson,Western,23.6,9.2,3.5,8,43.6,1.4,3.3,41.1,0.8,1,81.8,0.4,2.7,3.1,1.8,0.9,0.5,0.2,1.2,0,0,1.5
Joe Young,Eastern,4.1,2.1,0.8,2.2,36.1,0.2,0.7,21.7,0.3,0.5,73.3,0,0.5,0.5,0.5,0.2,0.1,0,0.2,0,0,-1.7
Joel Anthony,Western,6.4,1.3,0.5,0.8,62.5,0,0,0,0.3,0.4,62.5,0.4,1.2,1.6,0.2,0.2,0.1,0.3,0.6,0,0,-0.7
Joel Bolomboy,Western,4.4,1.8,0.8,1.3,56.3,0.1,0.3,25,0.3,0.5,50,0.3,1.1,1.4,0.2,0.2,0.1,0.2,0.1,0,0,1
Joel Embiid,Eastern,25.4,20.2,6.5,13.8,46.6,1.2,3.2,36.7,6.2,7.9,78.3,2,5.9,7.8,2.1,3.8,0.9,2.5,3.6,9,0,2.2
Joffrey Lauvergne,Eastern,14,5.4,2.1,4.8,44,0.5,1.4,33.7,0.7,1,63,1,2.6,3.6,1,0.8,0.4,0.1,1.2,0,0,-1.3
John Henson,Eastern,19.4,6.8,2.7,5.3,51.5,0,0,0,1.3,1.8,69.2,1.6,3.5,5.1,1,0.9,0.5,1.3,2.6,0,0,-0.8
John Jenkins,Western,3.2,1.8,0.5,1.3,40,0.3,0.5,50,0.5,0.5,100,0,0.3,0.3,0.3,0,0,0,0,0,0,2.3
John Lucas III,Western,2.1,0.4,0.2,0.8,25,0,0.2,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,2.4
John Wall,Eastern,36.4,23.1,8.3,18.4,45.1,1.1,3.5,32.7,5.4,6.8,80.1,0.8,3.4,4.2,10.7,4.1,2,0.6,1.9,50,0,3.2
Johnny O'Bryant III,Eastern,7.3,3.5,1.4,2.7,50,0.3,0.5,50,0.5,0.5,83.3,0.8,0.9,1.7,0.5,0.5,0,0.1,0.9,0,0,-2.4
Jon Leuer,Eastern,25.9,10.2,4.1,8.6,48,0.7,2.2,29.3,1.3,1.5,86.7,1.4,4,5.4,1.5,0.9,0.4,0.3,1.9,3,0,-1
Jonas Jerebko,Eastern,15.8,3.8,1.5,3.4,43.5,0.6,1.7,34.6,0.3,0.5,70.3,0.8,2.7,3.5,0.9,0.5,0.3,0.2,1.6,0,0,0.5
Jonas Valanciunas,Eastern,25.8,12,4.9,8.8,55.7,0,0,50,2.2,2.7,81.1,2.8,6.7,9.5,0.7,1.3,0.5,0.8,2.7,29,0,1.4
Jonathan Gibson,Western,13.6,6.2,2.1,5.6,36.8,0.9,2.6,33.3,1.2,1.7,72.4,0.1,1.2,1.3,1.5,1.2,0.5,0,1.2,0,0,-4.9
Jonathon Simmons,Western,17.9,6.2,2.3,5.4,42,0.4,1.3,29.4,1.3,1.7,75,0.3,1.8,2.1,1.6,1,0.6,0.3,1.9,0,0,2.7
Jordan Clarkson,Western,29.2,14.7,5.8,13.1,44.5,1.4,4.3,32.9,1.6,2,79.8,0.6,2.4,3,2.6,2,1.1,0.1,1.8,0,0,-5.1
Jordan Crawford,Western,23.3,14.1,5.5,11.5,48.2,1.9,5,38.9,1.1,1.4,76.9,0.2,1.6,1.8,3,1.3,0.6,0.1,1.6,0,0,0.9
Jordan Farmar,Western,17.7,6,2,6,33.3,2,4.5,44.4,0,0,0,0.5,1,1.5,4.5,1.5,1,0,0.5,0,0,-0.5
Jordan Hill,Western,6.7,1.7,0.7,1.9,38.5,0,0,0,0.3,0.3,100,1.1,0.9,2,0,0.6,0.1,0,1.3,0,0,1.7
Jordan McRae,Eastern,10.4,4.4,1.6,4.1,38.7,0.5,1.4,35.3,0.7,0.9,79.4,0.2,0.9,1.1,0.5,0.4,0.2,0.2,0.8,0,0,-1.6
Jordan Mickey,Eastern,5.6,1.5,0.6,1.4,44.1,0,0,0,0.3,0.6,57.1,0.5,0.8,1.4,0.3,0.4,0.1,0.2,0.5,0,0,-2.3
Jose Calderon,Eastern,13.1,3.4,1.3,3.3,41,0.5,1.6,31.3,0.3,0.3,91.7,0.4,1.4,1.8,2.1,1,0.3,0,0.9,0,0,-2.6
Josh Huestis,Western,15.4,7,3,5.5,54.5,1,2,50,0,0.5,0,2,2.5,4.5,1.5,0,0,1.5,0,0,0,1.5
Josh McRoberts,Eastern,17.3,4.9,2,5.4,37.3,0.6,1.4,41.9,0.3,0.4,66.7,1,2.3,3.4,2.3,1,0.5,0.2,1.4,0,0,-3.3
Josh Richardson,Eastern,30.5,10.2,3.8,9.7,39.4,1.4,4.3,33,1.1,1.5,77.9,0.7,2.5,3.2,2.6,1.2,1.1,0.7,2.5,0,0,0.1
Jrue Holiday,Western,32.7,15.4,6,13.3,45.4,1.5,4.2,35.6,1.8,2.5,70.8,0.7,3.3,3.9,7.3,2.9,1.5,0.7,2,16,0,0.6
Juan Hernangomez,Western,13.6,4.9,1.6,3.6,45.1,0.7,1.8,40.7,0.9,1.2,75,0.7,2.3,3,0.5,0.5,0.5,0.2,1,1,0,-0.5
Julius Randle,Western,28.8,13.2,5.1,10.4,48.8,0.2,0.9,27,2.8,3.8,72.3,2,6.6,8.6,3.6,2.3,0.7,0.5,3.4,18,3,-6.1
Justin Anderson,Eastern,16.4,7.1,2.5,5.9,42.4,0.8,2.6,29.9,1.4,1.7,79.1,0.9,2.3,3.3,0.9,0.9,0.5,0.3,1.5,0,0,-2.6
Justin Hamilton,Eastern,18.4,6.9,2.7,5.9,45.9,0.9,2.8,30.6,0.6,0.8,75,1.1,3,4.1,0.9,0.7,0.5,0.7,1.4,1,0,-4.5
Justin Harper,Eastern,10.4,4,1.7,4,41.7,0.7,2.3,28.6,0,0,0,0.7,1,1.7,0.7,1.3,0,0,0.7,0,0,-3.7
Justin Holiday,Eastern,20,7.7,2.8,6.6,43.3,1.2,3.3,35.5,0.8,1,82.5,0.3,2.4,2.7,1.2,0.8,0.8,0.4,1.3,0,0,-0.5
Justise Winslow,Eastern,34.7,10.9,4.4,12.5,35.6,0.4,1.9,20,1.6,2.6,61.7,1.3,3.9,5.2,3.7,1.8,1.4,0.3,2.9,1,0,-0.3
Jusuf Nurkic,Western,21.4,10.2,4.2,8.2,50.7,0,0,0,1.8,3.2,57.1,2.4,4.8,7.2,1.9,2.2,0.8,1.1,2.5,13,0,-0.8
KJ McDaniels,Eastern,10.3,4.2,1.6,3.4,45.6,0.4,1.3,30.3,0.7,0.8,84.2,0.3,1.4,1.7,0.3,0.6,0.4,0.4,1,0,0,-0.9
Karl-Anthony Towns,Western,37,25.1,9.8,18,54.2,1.2,3.4,36.7,4.3,5.2,83.2,3.6,8.7,12.3,2.7,2.6,0.7,1.3,2.9,62,1,-0.3
Kawhi Leonard,Western,33.4,25.5,8.6,17.7,48.5,2,5.2,38,6.3,7.2,88,1.1,4.7,5.8,3.5,2.1,1.8,0.7,1.6,9,0,5.9
Kay Felder,Eastern,9.2,4,1.5,3.8,39.2,0.2,0.5,31.8,0.8,1.2,71.4,0.1,0.9,1,1.4,0.7,0.4,0.2,0.9,0,0,-1.3
Kelly Olynyk,Eastern,20.5,9,3.5,6.8,51.2,0.9,2.6,35.4,1.2,1.6,73.2,1,3.8,4.8,2,1.3,0.6,0.4,2.8,2,0,0.2
Kelly Oubre Jr.,Eastern,20.3,6.3,2.4,5.6,42.1,0.7,2.4,28.7,0.9,1.3,75.8,0.8,2.5,3.3,0.6,0.6,0.7,0.2,2.5,1,0,-0.5
Kemba Walker,Eastern,34.7,23.2,8.1,18.3,44.4,3,7.6,39.9,3.8,4.5,84.7,0.6,3.3,3.9,5.5,2.1,1.1,0.3,1.5,8,0,2.4
Kenneth Faried,Western,21.2,9.6,3.7,6.8,54.8,0,0.1,0,2.1,3.1,69.3,3,4.6,7.6,0.9,1,0.7,0.7,2,11,0,-1
Kent Bazemore,Eastern,26.9,11,4,9.9,40.9,1.3,3.6,34.6,1.6,2.3,70.8,0.6,2.5,3.2,2.4,1.7,1.2,0.7,2.3,1,0,-1.5
Kentavious Caldwell-Pope,Eastern,33.3,13.8,4.9,12.2,39.9,2,5.8,35,2,2.4,83.2,0.7,2.5,3.3,2.5,1.1,1.2,0.2,1.6,1,0,-2
Kevin Durant,Western,33.4,25.1,8.9,16.5,53.7,1.9,5,37.5,5.4,6.2,87.5,0.6,7.6,8.3,4.8,2.2,1.1,1.6,1.9,23,1,11.5
Kevin Love,Eastern,31.4,19,6.2,14.5,42.7,2.4,6.5,37.3,4.3,4.9,87.1,2.5,8.6,11.1,1.9,2,0.9,0.4,2.1,41,0,5.6
Kevin Seraphin,Eastern,11.4,4.7,2.2,4,55.1,0,0,0,0.3,0.4,63.6,0.8,2.1,2.9,0.5,0.6,0.1,0.4,1.3,0,0,-2.1
Kevon Looney,Western,8.4,2.5,1.1,2,52.3,0,0.2,22.2,0.4,0.6,61.8,0.8,1.5,2.3,0.5,0.3,0.3,0.3,1.2,0,0,-0.3
Khris Middleton,Eastern,30.7,14.7,5.2,11.5,45,1.6,3.6,43.3,2.8,3.2,88,0.4,3.9,4.2,3.4,2.2,1.4,0.2,2.7,0,0,3.1
Klay Thompson,Western,34,22.3,8.3,17.6,46.8,3.4,8.3,41.4,2.4,2.8,85.3,0.6,3,3.7,2.1,1.6,0.8,0.5,1.8,0,0,10.3
Kosta Koufos,Western,20,6.6,3,5.5,55.1,0,0,0,0.5,0.9,61.3,1.7,4,5.7,0.7,0.9,0.5,0.7,2.4,4,0,-2.2
Kris Dunn,Western,17.1,3.8,1.5,4,37.7,0.3,0.9,28.8,0.5,0.8,61,0.3,1.8,2.1,2.4,1.1,1,0.5,2.3,1,0,-1.7
Kris Humphries,Eastern,12.3,4.6,1.6,3.8,40.7,0.3,1,35.2,1.1,1.5,78,1.1,2.6,3.7,0.5,0.5,0.3,0.4,1.2,0,0,-1.2
Kristaps Porzingis,Eastern,32.8,18.1,6.7,14.9,45,1.7,4.8,35.7,3,3.8,78.6,1.7,5.5,7.2,1.5,1.8,0.7,2,3.7,12,0,-1.5
Kyle Anderson,Western,14.2,3.4,1.3,2.9,44.5,0.2,0.6,37.5,0.6,0.8,78.9,0.5,2.4,2.9,1.3,0.5,0.7,0.4,0.9,0,0,2.5
Kyle Korver,Eastern,26.2,10.1,3.6,7.7,46.4,2.4,5.4,45.1,0.6,0.6,90.5,0.1,2.7,2.8,1.6,1,0.5,0.3,1.6,0,0,-2.5
Kyle Lowry,Eastern,37.4,22.4,7.1,15.3,46.4,3.2,7.8,41.2,5,6.1,81.9,0.8,4,4.8,7,2.9,1.5,0.3,2.8,11,1,6
Kyle O'Quinn,Eastern,15.6,6.3,2.7,5.2,52.1,0,0.2,11.8,0.8,1.1,77.1,2,3.6,5.6,1.5,1,0.5,1.3,2.2,6,0,-2
Kyle Singler,Western,12,2.8,1.1,2.6,41,0.2,1.2,18.9,0.4,0.5,76.5,0.3,1.3,1.5,0.3,0.3,0.2,0.2,0.9,0,0,0.3
Kyle Wiltjer,Western,3.1,0.9,0.3,1,28.6,0.3,0.9,30.8,0.1,0.1,50,0.3,0.4,0.7,0.1,0.4,0.2,0.1,0.3,0,0,-2.7
Kyrie Irving,Eastern,35.1,25.2,9.3,19.7,47.3,2.5,6.1,40.1,4.1,4.6,90.5,0.7,2.5,3.2,5.8,2.5,1.2,0.3,2.2,8,0,4.6
LaMarcus Aldridge,Western,32.4,17.3,6.9,14.6,47.7,0.3,0.8,41.1,3.1,3.8,81.2,2.4,4.9,7.3,1.9,1.4,0.6,1.2,2.2,18,0,3.8
Lamar Patterson,Eastern,8.1,1.8,0.6,3,20,0.2,1.2,16.7,0.4,0.6,66.7,0.2,1.2,1.4,1.2,0.8,0.2,0,1.2,0,0,2.6
Lance Stephenson,Eastern,20.1,6.8,3,6.7,45,0.3,1.1,30,0.4,0.7,61.5,0.2,2.7,2.9,3.3,1.4,0.3,0.2,1.8,0,0,0.6
Lance Thomas,Eastern,21,6,2.1,5.3,39.8,0.8,1.8,44.7,0.9,1.1,84.3,0.7,2.4,3.1,0.8,0.5,0.5,0.1,1.8,1,0,-4.4
Langston Galloway,Western,20.2,7.9,2.8,7.4,38,1.6,4.2,39,0.7,0.9,79.7,0.4,1.7,2.1,1.3,0.6,0.6,0.1,1.3,0,0,-0.8
Larry Nance Jr.,Western,22.9,7.1,3,5.7,52.6,0.2,0.6,27.8,0.9,1.3,73.8,1.9,4,5.9,1.5,0.9,1.3,0.6,2.4,7,0,-2.1
Larry Sanders,Eastern,2.5,0.8,0.2,0.8,25,0,0,0,0.4,0.4,100,0.6,0.2,0.8,0,0.4,0.2,0.2,1,0,0,-0.2
Lavoy Allen,Eastern,14.3,2.9,1.3,2.8,45.8,0,0,0,0.4,0.5,69.7,1.7,1.9,3.6,0.9,0.5,0.3,0.4,1.3,2,0,-2
LeBron James,Eastern,37.8,26.4,9.9,18.2,54.8,1.7,4.6,36.3,4.8,7.2,67.4,1.3,7.3,8.6,8.7,4.1,1.2,0.6,1.8,42,13,6.5
Leandro Barbosa,Western,14.4,6.3,2.6,5.9,43.9,0.5,1.5,35.7,0.6,0.7,88.9,0.2,1.3,1.6,1.2,0.7,0.5,0.1,1.2,0,0,-1
Lou Williams,Western,24.6,17.5,5.3,12.3,42.9,2,5.5,36.5,5,5.6,88,0.3,2.2,2.5,3,2,1,0.2,1.1,0,0,0.6
Luc Mbah a Moute,Western,22.3,6.1,2.4,4.7,50.5,0.5,1.4,39.1,0.7,1.1,67.8,0.6,1.6,2.1,0.5,0.6,1,0.4,1.5,0,0,3.3
Lucas Nogueira,Eastern,19.1,4.4,1.8,2.7,66,0.1,0.2,25,0.8,1.2,65.7,1.4,2.8,4.3,0.7,0.8,0.9,1.6,2.4,0,0,3.1
Luis Scola,Eastern,12.8,5.1,2,4.2,47,0.5,1.4,34,0.7,1,67.6,1.4,2.4,3.9,1,0.9,0.4,0.1,1.8,1,0,-2.3
Luke Babbitt,Eastern,15.7,4.8,1.7,4.1,40.2,1.3,3.1,41.4,0.2,0.2,73.3,0.2,1.9,2.1,0.5,0.4,0.3,0.2,1.7,0,0,-0.1
Luol Deng,Western,26.5,7.6,2.9,7.6,38.7,0.9,2.9,30.9,0.8,1.1,73,1.1,4.1,5.3,1.3,0.8,0.9,0.4,1.1,5,0,-3.5
Malachi Richardson,Western,9,3.6,1.3,3.1,41.2,0.4,1.3,28.6,0.7,0.9,78.9,0.1,0.9,1,0.5,0.4,0.2,0,1,0,0,-0.8
Malcolm Brogdon,Eastern,26.4,10.2,3.9,8.5,45.7,1,2.6,40.4,1.5,1.7,86.5,0.6,2.2,2.8,4.2,1.5,1.1,0.2,1.9,2,1,1.2
Malcolm Delaney,Eastern,17.1,5.4,2,5.3,37.4,0.4,1.5,23.6,1,1.3,80.6,0.1,1.5,1.7,2.6,1.3,0.5,0,1.5,0,0,0.5
Malik Beasley,Western,7.5,3.8,1.5,3.3,45.2,0.4,1.3,32.1,0.4,0.5,80,0.2,0.5,0.8,0.5,0.4,0.3,0,0.5,0,0,2.6
Manny Harris,Western,6.2,2,0.8,3.8,20,0,0.5,0,0.5,1,50,0.8,1.5,2.3,0.5,0.5,0,0,0.3,0,0,-5.3
Manu Ginobili,Western,18.7,7.5,2.5,6.4,39,1.3,3.3,39.2,1.2,1.6,80.4,0.4,1.9,2.3,2.7,1.4,1.2,0.2,1.7,0,0,3.7
Marc Gasol,Western,34.2,19.5,7.2,15.7,45.9,1.4,3.6,38.8,3.8,4.5,83.7,0.8,5.5,6.3,4.6,2.2,0.9,1.3,2.3,11,2,0.9
Marcelo Huertas,Western,10.3,2.7,1.1,3,36.8,0.2,0.8,21.1,0.4,0.7,52.9,0.1,1,1,2.3,0.8,0.4,0.1,0.7,0,0,-1.9
Marcin Gortat,Eastern,31.2,10.8,4.8,8.2,57.9,0,0,0,1.3,1.9,64.8,2.9,7.5,10.4,1.5,1.5,0.5,0.7,2.6,36,0,2.5
