PLAYER,Conference,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
Bismack Biyombo,Eastern,22.1,6,2.2,4.2,52.8,0,0,0,1.5,2.9,53.4,1.9,5.1,7,0.9,1.2,0.3,1.1,2.5,10,0,-4.3
Blake Griffin,Western,34,21.6,7.9,15.9,49.3,0.6,1.9,33.6,5.2,6.9,76,1.8,6.3,8.1,4.9,2.3,0.9,0.4,2.6,19,1,7.2
Boban Marjanovic,Eastern,8.4,5.5,2.1,3.8,54.5,0,0,0,1.3,1.7,81,1.3,2.4,3.7,0.3,0.3,0.2,0.3,0.7,5,0,0.9
Bobby Brown,Western,4.9,2.5,0.9,2.4,38.3,0.6,1.4,40,0.1,0.1,100,0,0.2,0.2,0.6,0.2,0,0,0.2,0,0,-1.4
Bobby Portis,Eastern,15.6,6.8,2.9,5.9,48.8,0.5,1.5,33.3,0.6,0.9,66.1,1.2,3.5,4.6,0.5,0.6,0.3,0.2,1.5,5,0,-1.3
Bojan Bogdanovic,Eastern,25.7,13.7,4.6,10.4,44.5,1.8,4.8,36.7,2.7,3,89.3,0.5,3,3.4,1.4,1.6,0.4,0.1,1.8,0,0,-3.2
Boris Diaw,Western,17.6,4.6,2,4.5,44.6,0.3,1.1,24.7,0.4,0.5,74.3,0.6,1.5,2.2,2.3,1.2,0.2,0.1,1.1,0,0,0.2
Bradley Beal,Eastern,34.9,23.1,8.3,17.2,48.2,2.9,7.2,40.4,3.7,4.4,82.5,0.7,2.4,3.1,3.5,2,1.1,0.3,2.2,1,0,4.3
Brandan Wright,Western,16,6.8,3,4.8,61.5,0,0,0,0.8,1.3,65.7,1.1,1.7,2.8,0.5,0.4,0.4,0.7,1.5,0,0,1.3
Brandon Bass,Western,11.1,5.6,2.1,3.6,57.5,0,0.1,33.3,1.5,1.7,87.5,0.8,1.7,2.5,0.4,0.6,0.3,0.2,0.9,0,0,-2.7
Brandon Ingram,Western,28.9,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4,2.1,1.5,0.6,0.5,2,0,0,-4.8
Brandon Jennings,Eastern,22.2,7.1,2.4,6.6,35.9,1,3.1,31.3,1.4,1.9,75,0.4,2.1,2.4,4.9,1.6,0.9,0,1.4,3,0,-0.8
Brandon Knight,Western,21.1,11,3.9,9.7,39.8,0.8,2.6,32.4,2.4,2.9,85.7,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,0,0,-6.1
Brandon Rush,Western,21.9,4.2,1.5,4,37.4,0.9,2.4,38.6,0.3,0.4,72.2,0.3,1.8,2.1,1,0.6,0.5,0.5,0.9,0,0,-0.9
Brian Roberts,Eastern,10.1,3.5,1.1,3,37.7,0.4,1.1,38.6,0.8,1,84.6,0.1,0.8,1,1.3,0.6,0.2,0,0.4,0,0,-1.4
Briante Weber,Eastern,10.3,3.1,1.3,3,41.7,0.1,0.5,10,0.6,0.8,68.8,0.4,0.9,1.3,1.1,0.4,0.6,0.1,0.8,0,0,-2.5
Brice Johnson,Western,3.1,1.3,0.7,2.3,28.6,0,0,0,0,0,0,0.3,0.7,1,0.3,0.3,0.7,0.3,0,0,0,2.3
Brook Lopez,Eastern,29.6,20.5,7.4,15.6,47.4,1.8,5.2,34.6,3.9,4.9,81,1.6,3.8,5.4,2.3,2.5,0.5,1.7,2.6,2,0,-2.1
Bruno Caboclo,Eastern,4.5,1.6,0.7,1.8,37.5,0.2,0.7,33.3,0,0,0,0.6,0.6,1.1,0.4,0.2,0.2,0.1,0.4,0,0,0.1
Bryn Forbes,Western,7.9,2.6,1,2.8,36.4,0.5,1.5,32.1,0.1,0.2,83.3,0.1,0.6,0.6,0.6,0.3,0,0,0.6,0,0,-1.4
Buddy Hield,Western,23,10.6,4,9.4,42.6,1.8,4.6,39.1,0.8,0.9,84.2,0.4,2.9,3.3,1.5,1.2,0.5,0.1,1.4,0,0,-2.6
C.J. Watson,Eastern,16.3,4.5,1.5,4,38.7,0.5,1.7,30.5,0.9,1.1,86.4,0.3,1.2,1.4,1.8,0.8,0.7,0,1.4,0,0,-3
CJ McCollum,Western,34.9,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,1,0,0.8
